x, y
0.08605784237656963, 6.768748955397214e-7
0.08824962319848745, 7.483279052826576e-7
0.09080670082405823, 8.273237159700018e-7
0.09299848164597603, 9.070413827994972e-7
0.09555555927154681, 0.000001011212759575959
0.09799086757990869, 0.000001117959509438129
0.1003044177190354, 0.0000012359747767297217
0.10334856146546804, 0.000001377923837775669
0.10614916657748288, 0.0000015106945934431096
0.10919331032391552, 0.0000016841946381882198
0.11284627836044521, 0.0000018933880218368362
0.11674277388341896, 0.000002110839588774552
0.12003044511629567, 0.00000233366635143978
0.12295281954551941, 0.0000025585283042284866
0.1266057875820491, 0.0000028286144738504827
0.13098934922588473, 0.000003233592196743267
0.1347640865796233, 0.0000036352358533839057
0.13939118685787671, 0.000004121089153457222
