x, y
0.10817359589486171, 469360.219713843
0.1098372530207848, 397110.25636707107
0.11128390534474239, 353259.77068293095
0.11287522753667698, 306470.2346933235
0.11446654310635265, 270359.6259582894
0.1166365249034185, 232598.05570859296
0.11895117656846134, 198445.1313043347
0.12249547575549628, 161026.20700487134
0.12589511831907202, 132865.3584471405
0.12987341386552015, 109629.46536207643
0.13312838656111892, 95907.14371535685
0.13681735561613084, 81143.88230740742
0.14094032103055595, 68653.17202501663
0.1441952937261547, 60059.853563748715
0.14708861161858772, 53876.233036170364
0.14896925367969957, 49972.30067029567
